feature,importance,source
tribe_immunity,1.8710726214575475,in_game
immunity_won,0.8741233249150253,in_game
visibility_spike,0.8461329264026051,edit
confessional_share,0.6761806087794091,edit
voting_minority_score,0.5907852799114878,edit
swing_vote_potential,0.5907852799114878,edit
tribe_size,0.531435243348858,structural
has_idol,0.3115424061734219,in_game
idols_played_this_ep,0.3033009281910452,edit
confessional_count,0.2960257537558619,edit
swap_phase,0.21331183768169357,structural
season,0.2097486338312925,structural
times_targeted,0.19396272278684518,edit
vote_steals_active,0.18128071959090764,edit
narrative_intensity,0.17027815912611483,edit
prior_votes_against,0.13181647080866785,edit
merged,0.12918790034369415,structural
pre_merge_phase,0.1291879003436932,structural
season_returnee_count,0.12468993417174516,edit
is_returnee,0.1246899341717446,edit
episode,0.10203713880307647,structural
starting_tribe_size,0.09354826104812684,structural
advantages_held,0.0910265379575428,edit
in_main_alliance,0.08259217451912547,in_game
visibility_score,0.07472431513775588,edit
is_returnee_first_three_eps,0.07075797981841146,edit
strategic_isolation,0.055424447327094374,edit
same_starting_tribe_remaining,0.04769130462946142,edit
remaining,0.02914582550834447,structural
prior_perf_score,0.02457506174390841,in_game
negative_edit_score,0.024195861202692126,edit
episode_share_remaining,0.017545259445643023,structural
is_finale,0.006421065307696957,structural
